Main division = 480
Main152:onset=78480,offset=78700notenum=71
Main153:onset=78720,offset=79180notenum=70
Main154:onset=79440,offset=79660notenum=70
Main155:onset=79680,offset=79900notenum=70
Main156:onset=79920,offset=80140notenum=69
Main157:onset=80160,offset=80380notenum=66
Main158:onset=80400,offset=80620notenum=63
Main159:onset=80640,offset=80860notenum=65
Main160:onset=80880,offset=81100notenum=61
Main161:onset=81120,offset=81340notenum=70
Main162:onset=81360,offset=81580notenum=70
Main163:onset=81840,offset=82060notenum=70
Main164:onset=82080,offset=82300notenum=70
Main165:onset=82320,offset=82540notenum=73
Main166:onset=82560,offset=83020notenum=75
Main167:onset=83040,offset=83500notenum=73
Main168:onset=83520,offset=83980notenum=70
Main169:onset=84000,offset=84220notenum=70
Main170:onset=84240,offset=84700notenum=73
Main171:onset=84720,offset=84940notenum=72
Main172:onset=84960,offset=86380notenum=72
Main173:onset=100560,offset=100780notenum=73
Main174:onset=100800,offset=101020notenum=73
Main175:onset=101040,offset=101260notenum=73
Main176:onset=101280,offset=101500notenum=73
Main177:onset=101520,offset=101740notenum=69
Main178:onset=101760,offset=102450notenum=74
Main179:onset=102480,offset=102700notenum=66
Main180:onset=102720,offset=103420notenum=66
Main181:onset=103680,offset=104140notenum=66
Main182:onset=104160,offset=104380notenum=74
Main183:onset=104400,offset=104860notenum=72
Main184:onset=104880,offset=105180notenum=70
Main185:onset=105360,offset=105590notenum=72
Main186:onset=105600,offset=106300notenum=74
Main187:onset=106320,offset=106540notenum=66
Main188:onset=106560,offset=107020notenum=66
Main189:onset=107040,offset=107260notenum=71
Main190:onset=107520,offset=107740notenum=74
Main191:onset=107760,offset=107980notenum=74
Main192:onset=108000,offset=108220notenum=78
Main193:onset=108240,offset=108700notenum=78
Main194:onset=108720,offset=108940notenum=78
Main195:onset=108960,offset=109180notenum=74
Main196:onset=109200,offset=109420notenum=72
Main197:onset=109440,offset=109900notenum=71
Main198:onset=110160,offset=110380notenum=71
Main199:onset=110400,offset=110620notenum=71
Main200:onset=110640,offset=110860notenum=70
Main201:onset=110880,offset=111100notenum=67
Main202:onset=111120,offset=111340notenum=64
Main203:onset=111360,offset=111580notenum=66
Main204:onset=111600,offset=111820notenum=62
Main205:onset=111840,offset=112060notenum=71
Main206:onset=112080,offset=112300notenum=71
Main207:onset=112560,offset=112780notenum=71
Main208:onset=112800,offset=113020notenum=71
Main209:onset=113040,offset=113260notenum=74
Main210:onset=113280,offset=113740notenum=76
Main211:onset=113760,offset=114220notenum=75
Main212:onset=114240,offset=114700notenum=71
Main213:onset=114720,offset=114940notenum=71
Main214:onset=114960,offset=115420notenum=74
Main215:onset=115440,offset=115660notenum=74
Main216:onset=115680,offset=117100notenum=73
Main217:onset=117360,offset=117580notenum=73
Main218:onset=117600,offset=117820notenum=73
Main219:onset=117840,offset=118060notenum=73
Main220:onset=118080,offset=118300notenum=73
Main221:onset=118320,offset=118540notenum=74
Main222:onset=118560,offset=118780notenum=72
Main223:onset=118800,offset=119020notenum=69
Main224:onset=119040,offset=119740notenum=74
Main225:onset=119760,offset=119980notenum=66
Main226:onset=120000,offset=120460notenum=66
Main227:onset=120480,offset=120940notenum=66
Main228:onset=120960,offset=121420notenum=67
Main229:onset=121440,offset=121660notenum=74
Main230:onset=121680,offset=122140notenum=72
Main231:onset=122160,offset=122380notenum=70
Main232:onset=122640,offset=122860notenum=72
Main233:onset=122880,offset=123580notenum=73
Main234:onset=123600,offset=123820notenum=66
Main235:onset=123840,offset=124300notenum=66
Main236:onset=129840,offset=130060notenum=64
Main237:onset=130080,offset=130300notenum=64
Main238:onset=130320,offset=130540notenum=64
Main239:onset=130560,offset=131020notenum=74
Main240:onset=131040,offset=131500notenum=71
Main241:onset=131520,offset=131980notenum=71
Main242:onset=132000,offset=132220notenum=71
Main243:onset=132240,offset=132700notenum=71
Main244:onset=132720,offset=132940notenum=74
Main245:onset=134640,offset=134860notenum=74
Main246:onset=135120,offset=135340notenum=74
Main247:onset=135360,offset=135580notenum=74
Main248:onset=135600,offset=135820notenum=74
Main249:onset=135840,offset=136060notenum=71
Main250:onset=136080,offset=136300notenum=71
Main251:onset=136320,offset=136780notenum=78
Main252:onset=137040,offset=137740notenum=71
Main253:onset=137760,offset=139180notenum=71
Main254:onset=139440,offset=139660notenum=71
Main255:onset=139680,offset=139900notenum=71
Main256:onset=139920,offset=140140notenum=66
Main257:onset=140160,offset=140280notenum=71
Main258:onset=140400,offset=140520notenum=71
Main259:onset=140640,offset=140760notenum=71
Main260:onset=140880,offset=141000notenum=71
Main261:onset=141120,offset=141240notenum=71
Main262:onset=141360,offset=141580notenum=71
Main263:onset=141600,offset=141820notenum=71
Main264:onset=141840,offset=142060notenum=66
Main265:onset=142080,offset=142200notenum=69
Main266:onset=142320,offset=142440notenum=69
Main267:onset=142560,offset=142680notenum=69
Main268:onset=142800,offset=142920notenum=69
Main269:onset=143040,offset=143160notenum=69
Main270:onset=144000,offset=144120notenum=71
Main271:onset=144240,offset=144360notenum=71
Main272:onset=144480,offset=144600notenum=71
Main273:onset=144720,offset=144840notenum=71
Main274:onset=144960,offset=145080notenum=69
Main275:onset=145200,offset=145320notenum=69
Main276:onset=145440,offset=145560notenum=69
Main277:onset=145680,offset=145800notenum=69
Main278:onset=147840,offset=148060notenum=59
Main279:onset=148080,offset=148300notenum=62
Main280:onset=148320,offset=148540notenum=64
Main281:onset=148560,offset=148780notenum=64
Main282:onset=148800,offset=149020notenum=66
Main283:onset=149040,offset=149260notenum=68
Main284:onset=149280,offset=149500notenum=71
Main285:onset=149520,offset=149740notenum=73
Main286:onset=149760,offset=149980notenum=74
Main287:onset=150240,offset=150460notenum=78
Main288:onset=150480,offset=150940notenum=78
Main289:onset=150960,offset=151180notenum=77
Main290:onset=151200,offset=151420notenum=73
Main291:onset=151440,offset=151660notenum=71
Main292:onset=151680,offset=152620notenum=69
Main293:onset=162000,offset=162220notenum=70
Main294:onset=162240,offset=162460notenum=70
Main295:onset=162480,offset=162700notenum=74
Main296:onset=162720,offset=162940notenum=70
Main297:onset=162960,offset=163180notenum=74
Main298:onset=163200,offset=163900notenum=75
Main299:onset=163920,offset=164140notenum=67
Main300:onset=164160,offset=164620notenum=65
Main301:onset=164880,offset=165100notenum=65
Main302:onset=165120,offset=165580notenum=67
Main303:onset=165600,offset=165820notenum=75
Main304:onset=165840,offset=166300notenum=73
Main305:onset=166320,offset=166540notenum=71
Main306:onset=166800,offset=167020notenum=73
Main307:onset=167040,offset=167740notenum=75
Main308:onset=167760,offset=167980notenum=67
Main309:onset=168000,offset=168700notenum=67
Main310:onset=168960,offset=169180notenum=75
Main311:onset=169440,offset=169660notenum=79
Main312:onset=169680,offset=170140notenum=79
Main313:onset=170160,offset=170380notenum=79
Main314:onset=170400,offset=170620notenum=75
Main315:onset=170640,offset=170860notenum=73
Main316:onset=170880,offset=171340notenum=72
Main317:onset=171600,offset=171820notenum=72
Main318:onset=171840,offset=172060notenum=72
Main319:onset=172080,offset=172300notenum=71
Main320:onset=172320,offset=172540notenum=68
Main321:onset=172560,offset=172780notenum=65
Main322:onset=172800,offset=173020notenum=67
Main323:onset=173040,offset=173260notenum=63
Main324:onset=173280,offset=173500notenum=72
Main325:onset=173520,offset=173740notenum=72
Main326:onset=174000,offset=174220notenum=72
Main327:onset=174240,offset=174460notenum=72
Main328:onset=174480,offset=174700notenum=75
Main329:onset=174720,offset=175180notenum=75
Main330:onset=175200,offset=175420notenum=75
Main331:onset=175440,offset=175660notenum=75
Main332:onset=175680,offset=175900notenum=72
Main333:onset=175920,offset=176140notenum=72
Main334:onset=176160,offset=176380notenum=72
Main335:onset=176400,offset=177580notenum=74
Main336:onset=179280,offset=179500notenum=74
Main337:onset=179520,offset=179740notenum=74
Main338:onset=179760,offset=179980notenum=74
Main339:onset=180000,offset=180220notenum=74
Main340:onset=180240,offset=180460notenum=70
Main341:onset=180480,offset=181180notenum=75
Main342:onset=181200,offset=181420notenum=67
Main343:onset=181440,offset=181900notenum=67
Main344:onset=181920,offset=182380notenum=67
Main345:onset=182400,offset=182860notenum=67
Main346:onset=182880,offset=183100notenum=75
Main347:onset=183120,offset=183580notenum=73
Main348:onset=183600,offset=184060notenum=71
Main349:onset=184320,offset=185020notenum=75
Main350:onset=185040,offset=185260notenum=67
Main351:onset=185280,offset=185740notenum=67
Main352:onset=186240,offset=186460notenum=75
Main353:onset=186720,offset=186940notenum=79
Main354:onset=186960,offset=187420notenum=79
Main355:onset=187440,offset=187660notenum=77
Main356:onset=187680,offset=187900notenum=75
Main357:onset=187920,offset=188140notenum=73
Main358:onset=188160,offset=188620notenum=72
Main359:onset=188880,offset=189100notenum=72
Main360:onset=189120,offset=189340notenum=72
Main361:onset=189360,offset=189580notenum=71
Main362:onset=189600,offset=189820notenum=68
Main363:onset=189840,offset=190060notenum=65
Main364:onset=190080,offset=190300notenum=67
Main365:onset=190320,offset=190540notenum=63
Main366:onset=190560,offset=190780notenum=72
Main367:onset=190800,offset=191020notenum=72
Main368:onset=191280,offset=191500notenum=72
Main369:onset=191520,offset=191740notenum=72
Main370:onset=191760,offset=191980notenum=75
Main371:onset=192000,offset=192460notenum=77
Main372:onset=192480,offset=192940notenum=76
Main373:onset=192960,offset=193420notenum=72
Main374:onset=193440,offset=193660notenum=72
Main375:onset=193680,offset=194140notenum=75
Main376:onset=194160,offset=194380notenum=74
Main377:onset=194400,offset=195590notenum=74
Main378:onset=195840,offset=196060notenum=76
Main379:onset=196320,offset=196540notenum=79
Main380:onset=196560,offset=197020notenum=79
Main381:onset=197040,offset=197260notenum=77
Main382:onset=197280,offset=197500notenum=74
Main383:onset=197520,offset=197740notenum=74
Main384:onset=197760,offset=198460notenum=70
Main385:onset=203520,offset=203740notenum=75
Main386:onset=204000,offset=204220notenum=79
Main387:onset=204240,offset=204700notenum=79
Main388:onset=204720,offset=204940notenum=79
Main389:onset=204960,offset=205180notenum=75
Main390:onset=205200,offset=205420notenum=74
Main391:onset=205440,offset=206140notenum=72
Main392:onset=211200,offset=211420notenum=75
Main393:onset=211680,offset=211900notenum=78
Main394:onset=211920,offset=212380notenum=80
Main395:onset=212400,offset=212620notenum=77
Main396:onset=212640,offset=212860notenum=74
Main397:onset=212880,offset=213100notenum=72
Main398:onset=213120,offset=213820notenum=72
Main399:onset=218880,offset=219100notenum=75
Main400:onset=219360,offset=219580notenum=79
Main401:onset=219600,offset=220060notenum=79
Main402:onset=220080,offset=220300notenum=79
Main403:onset=220320,offset=220540notenum=75
Main404:onset=220560,offset=220780notenum=73
Main405:onset=220800,offset=221500notenum=72
Main406:onset=226560,offset=226780notenum=75
Main407:onset=227040,offset=227260notenum=78
Main408:onset=227280,offset=227740notenum=80
Main409:onset=227760,offset=227980notenum=77
Main410:onset=228000,offset=228220notenum=74
Main411:onset=228240,offset=228460notenum=74
Main412:onset=228480,offset=229180notenum=72
==============
Hamo division = 480
Hamo0:onset=8400,offset=8620notenum=71
Hamo1:onset=8640,offset=8860notenum=71
Hamo2:onset=8880,offset=9100notenum=72
Hamo3:onset=9120,offset=9340notenum=71
Hamo4:onset=9360,offset=9580notenum=69
Hamo5:onset=9600,offset=10300notenum=72
Hamo6:onset=10320,offset=10540notenum=67
Hamo7:onset=10560,offset=11020notenum=67
Hamo8:onset=11040,offset=11500notenum=67
Hamo9:onset=11520,offset=11980notenum=68
Hamo10:onset=12000,offset=12220notenum=68
Hamo11:onset=12240,offset=12700notenum=68
Hamo12:onset=12720,offset=13180notenum=68
Hamo13:onset=13440,offset=14140notenum=69
Hamo14:onset=14160,offset=14380notenum=69
Hamo15:onset=14400,offset=14860notenum=69
Hamo16:onset=15360,offset=15580notenum=67
Hamo17:onset=15840,offset=16060notenum=67
Hamo18:onset=16080,offset=16540notenum=72
Hamo19:onset=16560,offset=16780notenum=67
Hamo20:onset=16800,offset=17020notenum=67
Hamo21:onset=17040,offset=17260notenum=67
Hamo22:onset=17280,offset=17740notenum=69
Hamo23:onset=18000,offset=18220notenum=69
Hamo24:onset=18240,offset=18460notenum=69
Hamo25:onset=18480,offset=18700notenum=67
Hamo26:onset=18720,offset=18940notenum=65
Hamo27:onset=18960,offset=19180notenum=65
Hamo28:onset=19200,offset=19420notenum=64
Hamo29:onset=19440,offset=19660notenum=60
Hamo30:onset=19680,offset=19900notenum=67
Hamo31:onset=19920,offset=20140notenum=69
Hamo32:onset=20400,offset=20620notenum=69
Hamo33:onset=20640,offset=20860notenum=71
Hamo34:onset=20880,offset=21100notenum=72
Hamo35:onset=21120,offset=21580notenum=74
Hamo36:onset=21600,offset=22060notenum=72
Hamo37:onset=22080,offset=22540notenum=71
Hamo38:onset=22560,offset=22780notenum=69
Hamo39:onset=22800,offset=23260notenum=72
Hamo40:onset=23280,offset=23500notenum=72
Hamo41:onset=23520,offset=23740notenum=72
Hamo42:onset=23760,offset=23980notenum=71
Hamo43:onset=24000,offset=24220notenum=71
Hamo44:onset=24240,offset=24460notenum=72
Hamo45:onset=24480,offset=24700notenum=71
Hamo46:onset=24720,offset=24940notenum=69
Hamo47:onset=24960,offset=25660notenum=67
Hamo48:onset=25680,offset=25900notenum=67
Hamo49:onset=25920,offset=26380notenum=67
Hamo50:onset=26400,offset=26860notenum=67
Hamo51:onset=26880,offset=27340notenum=68
Hamo52:onset=27360,offset=27580notenum=68
Hamo53:onset=27600,offset=28060notenum=68
Hamo54:onset=28080,offset=28540notenum=68
Hamo55:onset=28800,offset=29500notenum=69
Hamo56:onset=29520,offset=29740notenum=69
Hamo57:onset=29760,offset=30220notenum=69
Hamo58:onset=30720,offset=30940notenum=67
Hamo59:onset=31200,offset=31420notenum=67
Hamo60:onset=31440,offset=31900notenum=72
Hamo61:onset=31920,offset=32140notenum=67
Hamo62:onset=32160,offset=32380notenum=67
Hamo63:onset=32400,offset=32620notenum=67
Hamo64:onset=32640,offset=33100notenum=69
Hamo65:onset=33360,offset=33580notenum=69
Hamo66:onset=33600,offset=33820notenum=69
Hamo67:onset=33840,offset=34060notenum=67
Hamo68:onset=34080,offset=34300notenum=65
Hamo69:onset=34320,offset=34540notenum=65
Hamo70:onset=34560,offset=34780notenum=64
